Koodi,Nimi,HEX
F497,Paperi,#F1F1EC
V503,Talvi,#EEEEE9
S503,Lumikko,#F2F1EA
F496,Lokki,#E4E8E6
G500,Bungalow,#DCDFE0
L498,Sarka,#ACB1B5
N500,Akaatti,#8E979E
S500,Tyrsky,#757B81
V493,Linnunrata,#4D5658
Y500,Takorauta,#4E5255
X491,Herttua,#434A4E
Y493,Mustarastas,#3E4041
G497,Höyry,#E8E7E1
H497,Kaoliini,#E4E1D9
TIKH,Tikkurilan Harmaa,#D7D4CF
X487,Laasti,#C9C5BC
H487,Hohkakivi,#CAC5BD
K497,Atlas,#C4C4BB
K499,Graniitti,#AAACAA
M499,Mantteli,#7D7F7E
N499,Basaltti,#686A6A
X499,Lakritsi,#484A4A
Y497,Toro,#4B4944
Y498,Keskiyö,#3C3C3C
F487,Höyhen,#E5E3DC
G487,Batisti,#DBD7CF
G486,Myötätuuli,#DBD6CF
Y487,Piazza,#D8D4CA
X486,Mediaani,#D5D1CA
X485,Kashmir,#D9D2CB
V487,Valamo,#BEB9B0
M497,Tuhka,#ADAAA3
K487,Kalsiitti,#A6A199
L487,Kontiainen,#847B72
N485,Alppimaja,#706357
N462,Salo,#564E48
F484,Kalkki,#EBE8E0
F485,Damasti,#EFEBE2
TIKV,Tikkurilan Valkoinen,#EAE7E1
G485,Kanvaasi,#E9E4DB
TIKB,Tikkurilan Beige,#E3D7C8
H484,Mulperi,#DDD4C9
J484,Linna,#CEBFB0
V484,Ajopuu,#C3B6A7
V486,Savikivi,#B8AFA5
K484,Granuliitti,#B9A694
N484,Siitake,#907C6B
L462,Sacher,#5A4A41
F503,Jasmiini,#F6F2E8
Y456,Kookos,#F0EBDF
Y458,Merino,#E6E1D4
G459,Halva,#E6D8C3
H459,Chai,#DECDB5
X459,Uni,#D2C6B2
X394,Lakeus,#D1BA98
X457,Apatiitti,#C5B89C
V466,Laama,#C0A891
V463,Autiomaa,#BB9E82
S484,Konglomeraatti,#9B8975
M460,Aarniometsä,#5F4F41
G503,Kalla,#F4F0E6
F462,Halo,#F4EBDE
F309,Gardenia,#F7F0E4
G467,Herkkusieni,#E9DACC
H462,Viikonloppu,#E0C8B1
H466,Angora,#DAC2AB
X463,Hiekkakivi,#CEB9A7
K480,Tamariski,#B7A090
V477,Muuri,#9F8579
V467,Bastioni,#9A877A
L481,Siluetti,#837168
N464,Aleksandriitti,#624E46
F458,Akropolis,#F1E9DD
F466,Pergamentti,#EBDFCF
G398,Manna,#F0DEC6
G395,Nuudeli,#EEDABE
Y399,Cashew,#F1D9BF
H398,Kaura,#F0D3AE
X462,Lastu,#E4CCB0
X395,Playa,#D9BC9B
J462,Kultamalmi,#CAA98D
S471,Etruski,#A68270
L478,Tuulihaukka,#795A55
N417,Morelli,#674342
F302,Parmesan,#FBF2D9
Y392,Papyrus,#EEDFBB
H456,Himmeli,#EAD4AE
H303,Duuri,#FFE5AA
Y308,Munatoti,#FADDA5
J392,Tuohus,#E2BE7C
K396,Safari,#D5A46C
L396,Mehiläisvaha,#C58F5B
V406,Sadonkorjuu,#C88760
N411,Madras,#A45C4D
M409,Xi'an,#8B5348
M476,Rooibos,#784B42
F300,Kamelia,#F6F3E6
F306,Sorbetti,#F8EBD1
F392,Kaakaovoi,#F6E7C6
H300,Lemonade,#FCE8B3
J302,Banaani,#FBDC8A
H392,Kirnuvoi,#F0D291
S302,Greippi,#EEC156
L392,Dukaatti,#C0944A
S396,Siirappi,#A67D54
S311,Helle,#DA8C51
S315,Folklore,#D1774C
N405,Ruukku,#9E5A44
F313,Galleria,#F4ECDF
G405,Niini,#FCE2C8
G311,Kikherne,#FBE2C3
H405,Nukke,#F4D1B9
J407,Siesta,#E4B194
H320,Magnolia,#F3C3B7
K319,Flamingo,#ED8A7E
M316,Tomaatti,#D45F49
M319,Riutta,#C15140
M323,Hertta,#C03336
M326,Marmeladi,#A64845
M423,Granaattiomena,#8A4246
F470,Lumikki,#F2E7DC
G313,Viuhka,#FDECDA
Y406,Riviera,#F5DCC8
Y411,Pirtelö,#EDCEC5
X417,Paviljonki,#D9B8B3
H417,Näsiä,#D5ADAB
V419,Piruetti,#BD8A8B
V413,Ruusun hetki,#C88A80
